artistName,n_listens,spotify_id,genres,spotify_artist_name,n_followers,popularity
((( O ))),1,5rBFU1rhgs1nNghopuj9k8,"['alternative r&b', 'experimental hip hop', 'indie r&b', 'indie soul']",((( O ))),37164.0,60.0
(dc),1,711MCceyCBcFnzjGY4Q7Un,"['album rock', 'australian rock', 'hard rock', 'rock']",AC/DC,16426453.0,86.0
21 Savage,22,1URnnhqYAYcrqrcwql10ft,"['atl hip hop', 'rap', 'trap']",21 Savage,8597519.0,92.0
2Pac,49,1ZwdS5xdxEREPySFridCfh,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",2Pac,9122057.0,83.0
50 Cent,1,3q7HBObVc0L8jNeTe5Gofh,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap']",50 Cent,6378038.0,87.0
88rising,1,1AhjOkOLkbHUfcHDSErXQs,"['asian american hip hop', 'pop']",88rising,573390.0,75.0
@Peace,1,5lmSBamD6zMcpHPqPpwmwN,['piano cover'],Disney Peaceful Piano,36255.0,64.0
A Band Called Success,1,3YoOCNIgj8b0TKPQhRTXQJ,[],A Band Called Success,1653.0,26.0
A Tribe Called Quest,10,09hVIj6vWgoCDtT03h8ZCa,"['alternative hip hop', 'conscious hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'jazz rap', 'queens hip hop', 'rap']",A Tribe Called Quest,1299990.0,71.0
A$AP Ferg,4,5dHt1vcEm9qb8fCyLcB3HL,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop']",A$AP Ferg,2659116.0,80.0
A$AP Rocky,6,13ubrt8QOOCPljQ2FL1Kca,"['east coast hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",A$AP Rocky,7992687.0,86.0
A2,1,4JG2Uz00XKYdOZmvcLwrUH,[],A2M,11721.0,52.0
ADOY,7,64sY7LsUjNE3ifONkftTXC,"['k-indie', 'korean city pop', 'korean indie rock', 'thai indie rock']",ADOY,42722.0,47.0
ASTR,3,3AVfmawzu83sp94QW7CEGm,"['dance pop', 'electropop', 'norwegian pop', 'pop', 'post-teen pop', 'swedish pop', 'tropical house', 'uk pop']",Astrid S,673879.0,76.0
AUGUST 08,1,2iB8eFB6flwQculkUrRssi,"['la pop', 'r&b']",AUGUST 08,23146.0,64.0
Aaron London,2,3kEmqqFSkvMyrCMMV8imGe,[],Aaron London,2425.0,25.0
Aaron Taylor,3,1evO4fwLsEkkPGq32dCix7,"['alternative r&b', 'funk', 'indie jazz', 'indie r&b', 'indie soul', 'neo r&b', 'soul', 'uk contemporary r&b']",Aaron Taylor,38153.0,52.0
AbJo,1,5b4KglrP9tl3JXiuYSRcRW,['abstract beats'],AbJo,8905.0,29.0
AcetheSpade,1,3NQn54flxJ2nkZ8BtwF5AA,[],AcetheSpade,8201.0,25.0
Action Bronson,1,7BMccF0hQFBpP6417k1OtQ,"['alternative hip hop', 'east coast hip hop', 'escape room', 'hip hop', 'nyc rap', 'queens hip hop', 'rap', 'southern hip hop', 'underground hip hop']",Action Bronson,584779.0,70.0
Ady Suleiman,1,5LuLeXlnT2jFxbx7Cg7j88,"['indie soul', 'uk contemporary r&b']",Ady Suleiman,76377.0,56.0
Ain't No Love,4,5ByQxGnkZixBK4xEcAW7Eh,[],Ain't No Love,980.0,17.0
Alexcis,1,2tDA2vvMMRpi5GZL0hzqqj,[],Alexcis,1662.0,43.0
