artistName,genre
((( O ))),alternative r&b
((( O ))),experimental hip hop
((( O ))),indie r&b
((( O ))),indie soul
(dc),album rock
(dc),australian rock
(dc),hard rock
(dc),rock
21 Savage,atl hip hop
21 Savage,rap
21 Savage,trap
2Pac,g funk
2Pac,gangster rap
2Pac,hip hop
2Pac,rap
2Pac,west coast rap
50 Cent,east coast hip hop
50 Cent,gangster rap
50 Cent,hip hop
50 Cent,pop rap
50 Cent,queens hip hop
50 Cent,rap
88rising,asian american hip hop
88rising,pop
@Peace,piano cover
A Tribe Called Quest,alternative hip hop
A Tribe Called Quest,conscious hip hop
A Tribe Called Quest,east coast hip hop
A Tribe Called Quest,gangster rap
A Tribe Called Quest,hardcore hip hop
A Tribe Called Quest,hip hop
A Tribe Called Quest,jazz rap
A Tribe Called Quest,queens hip hop
A Tribe Called Quest,rap
A$AP Ferg,hip hop
A$AP Ferg,pop rap
A$AP Ferg,rap
A$AP Ferg,southern hip hop
A$AP Ferg,trap
A$AP Ferg,underground hip hop
A$AP Rocky,east coast hip hop
A$AP Rocky,hip hop
A$AP Rocky,pop rap
A$AP Rocky,rap
A$AP Rocky,southern hip hop
A$AP Rocky,trap
ADOY,k-indie
ADOY,korean city pop
ADOY,korean indie rock
ADOY,thai indie rock
ASTR,dance pop
ASTR,electropop
ASTR,norwegian pop
ASTR,pop
ASTR,post-teen pop
ASTR,swedish pop
ASTR,tropical house
ASTR,uk pop
AUGUST 08,la pop
AUGUST 08,r&b
Aaron Taylor,alternative r&b
Aaron Taylor,funk
Aaron Taylor,indie jazz
Aaron Taylor,indie r&b
Aaron Taylor,indie soul
Aaron Taylor,neo r&b
Aaron Taylor,soul
Aaron Taylor,uk contemporary r&b
AbJo,abstract beats
Action Bronson,alternative hip hop
Action Bronson,east coast hip hop
Action Bronson,escape room
Action Bronson,hip hop
Action Bronson,nyc rap
Action Bronson,queens hip hop
Action Bronson,rap
Action Bronson,southern hip hop
Action Bronson,underground hip hop
Ady Suleiman,indie soul
Ady Suleiman,uk contemporary r&b
Alextbh,alternative r&b
Alextbh,chill r&b
Alextbh,indie r&b
Alextbh,malaysian indie
Alina Baraz,alternative r&b
Alina Baraz,electropop
Alina Baraz,etherpop
Alina Baraz,pop
Aloe Blacc,pop soul
Aloe Blacc,r&b
Altin Gün,dutch indie
Altin Gün,turkish psych
AlunaGeorge,electropop
AlunaGeorge,house
AlunaGeorge,pop
AlunaGeorge,tropical house
Ambassadeurs,vapor twitch
Amerie,alternative r&b
Amerie,dance pop
Amerie,hip hop
Amerie,hip pop
Amerie,neo soul
Amerie,pop r&b
Amerie,pop rap
Amerie,r&b
Amerie,urban contemporary
Amy Winehouse,british soul
Amy Winehouse,neo soul
Anderson .Paak,escape room
Andy Mineo,christian hip hop
Andy Mineo,christian trap
Anik Khan,desi hip hop
Antonín Dvořák,classical
Antonín Dvořák,czech classical
Antonín Dvořák,late romantic era
Antônio Carlos Jobim,adult standards
Antônio Carlos Jobim,bossa nova
Antônio Carlos Jobim,brazilian classical
Antônio Carlos Jobim,brazilian jazz
Antônio Carlos Jobim,latin classical
Antônio Carlos Jobim,mpb
Antônio Carlos Jobim,violao
Anushka,filmi
Anushka,modern bollywood
Apollo Brown,alternative hip hop
Apollo Brown,boom bap
Apollo Brown,hip hop
Ari Lennox,alternative r&b
Ari Lennox,dmv rap
Ari Lennox,indie r&b
Ari Lennox,indie soul
Ari Lennox,neo soul
Ari Lennox,pop
Ari Lennox,r&b
Ari Lennox,urban contemporary
Ariana Grande,dance pop
Ariana Grande,pop
Ariana Grande,post-teen pop
Arizona Zervas,pop rap
Arizona Zervas,rap
Arizona Zervas,rhode island rap
Ark Patrol,future bass
Ark Patrol,vapor soul
Ark Patrol,vapor twitch
Astrud Gilberto,adult standards
Astrud Gilberto,bossa nova
Astrud Gilberto,brazilian jazz
Astrud Gilberto,lounge
Astrud Gilberto,samba-jazz
Astrud Gilberto,vocal jazz
Atlas Bound,vapor soul
Atmosphere,alternative hip hop
Atmosphere,conscious hip hop
Atmosphere,minnesota hip hop
Atmosphere,pop rap
Audrey,pop
Audrey,social media pop
August Greene,jazz rap
August Greene,neo r&b
Awon,jazz rap
B.J. Thomas,adult standards
B.J. Thomas,brill building pop
B.J. Thomas,bubblegum pop
B.J. Thomas,classic country pop
B.J. Thomas,folk
B.J. Thomas,folk rock
B.J. Thomas,mellow gold
B.J. Thomas,soft rock
BADBADNOTGOOD,alternative hip hop
BADBADNOTGOOD,canadian modern jazz
BADBADNOTGOOD,escape room
BADBADNOTGOOD,indie soul
BJ The Chicago Kid,alternative r&b
BJ The Chicago Kid,chicago rap
BJ The Chicago Kid,hip hop
BJ The Chicago Kid,neo soul
BJ The Chicago Kid,rap
BJ The Chicago Kid,southern hip hop
BJ The Chicago Kid,underground hip hop
BTS,k-pop
BTS,k-pop boy group
Baby Keem,hip hop
Baby Keem,rap
Baby Keem,trap
Baby Keem,underground hip hop
Baby Keem,vapor trap
Bad Bunny,latin
Bad Bunny,reggaeton
Bad Bunny,trap latino
Bahamadia,hardcore hip hop
Bahamadia,hip hop
Bahamadia,philly rap
Bambu,political hip hop
Bas,metropopolis
Bas,modern rock
Bas,pop
Bas,pop rock
Bazzi,pop
Bazzi,post-teen pop
Beach Fossils,brooklyn indie
Beach Fossils,chillwave
Beach Fossils,indie garage rock
Beach Fossils,indie pop
Beach Fossils,indie rock
Beach Fossils,indie surf
Beach Fossils,nu gaze
Beach Fossils,popgaze
Beach Fossils,shoegaze
Bearcubs,alternative r&b
Bearcubs,future garage
Bearcubs,indie soul
Bearcubs,vapor soul
Bearcubs,vapor twitch
Beat Connection,chillwave
Beat Connection,shimmer pop
Bebe Rexha,dance pop
Bebe Rexha,electropop
Bebe Rexha,pop
Bebe Rexha,post-teen pop
Beenzino,k-indie
Beenzino,k-rap
Beenzino,korean pop
Beenzino,korean r&b
Benny Sings,dutch pop
Benny Sings,indie jazz
Benny Sings,indie soul
Berhana,alternative r&b
Berhana,chill r&b
Berhana,indie r&b
Berhana,indie soul
Beyoncé,dance pop
Beyoncé,pop
Beyoncé,r&b
