endTime,artistName,trackName,msPlayed,endTime_utc,endTime_loc,day_of_week,weekday,season_num,season,hour_of_day
2019-02-13 06:25:00,Ludwig van Beethoven,"Piano Sonata No. 17 In D Minor, Op. 31, No. 2 -""The Tempest"": 3. Allegretto - Live",5827,2019-02-13 06:25:00+00:00,2019-02-12 22:25:00-08:00,Tuesday,0,1,winter,22
2019-02-13 06:26:00,Ludwig van Beethoven,"Piano Sonata No. 17 In D Minor, Op. 31, No. 2 -""The Tempest"": 3. Allegretto - Live",2069,2019-02-13 06:26:00+00:00,2019-02-12 22:26:00-08:00,Tuesday,0,1,winter,22
2019-02-13 06:26:00,Danney Alkana,"Beethoven: ""Symphony No. Five"" Complete",6574,2019-02-13 06:26:00+00:00,2019-02-12 22:26:00-08:00,Tuesday,0,1,winter,22
2019-02-13 06:26:00,Ludwig van Beethoven,"Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 ""Moonlight"": I. Adagio sostenuto",12975,2019-02-13 06:26:00+00:00,2019-02-12 22:26:00-08:00,Tuesday,0,1,winter,22
2019-02-13 06:30:00,Ludwig van Beethoven,"Beethoven: Symphony No. 7 in A Major, Op. 92: II. Allegretto (Excerpt)",237475,2019-02-13 06:30:00+00:00,2019-02-12 22:30:00-08:00,Tuesday,0,1,winter,22
2019-02-13 06:33:00,Antonín Dvořák,"Songs My Mother Taught Me from Gypsy Melodie, Op. 55",175731,2019-02-13 06:33:00+00:00,2019-02-12 22:33:00-08:00,Tuesday,0,1,winter,22
2019-02-13 07:34:00,Frederick Delius,"Two Aquarelles (1987 Remaster): II. Gaily, but not quick",49225,2019-02-13 07:34:00+00:00,2019-02-12 23:34:00-08:00,Tuesday,0,1,winter,23
2019-02-15 05:18:00,Depeche Mode,Enjoy the Silence - Single Mix,255246,2019-02-15 05:18:00+00:00,2019-02-14 21:18:00-08:00,Thursday,0,1,winter,21
2019-02-15 05:23:00,Depeche Mode,Just Can't Get Enough (Live in Hammersmith) - 2018 Remaster,335202,2019-02-15 05:23:00+00:00,2019-02-14 21:23:00-08:00,Thursday,0,1,winter,21
2019-02-15 05:26:00,Depeche Mode,Personal Jesus - Original Seven Inch Version,166488,2019-02-15 05:26:00+00:00,2019-02-14 21:26:00-08:00,Thursday,0,1,winter,21
2019-02-15 05:27:00,Depeche Mode,Walking in My Shoes - 2006 Remaster,57751,2019-02-15 05:27:00+00:00,2019-02-14 21:27:00-08:00,Thursday,0,1,winter,21
2019-02-15 05:32:00,Depeche Mode,Policy Of Truth - 2006 Remastered Version,293983,2019-02-15 05:32:00+00:00,2019-02-14 21:32:00-08:00,Thursday,0,1,winter,21
2019-02-15 05:36:00,Depeche Mode,Never Let Me Down Again - Tsangarides Mix,261970,2019-02-15 05:36:00+00:00,2019-02-14 21:36:00-08:00,Thursday,0,1,winter,21
2019-02-15 05:39:00,Depeche Mode,Precious,179954,2019-02-15 05:39:00+00:00,2019-02-14 21:39:00-08:00,Thursday,0,1,winter,21
2019-02-15 05:45:00,Depeche Mode,"Strangelove - 7"" Version",118219,2019-02-15 05:45:00+00:00,2019-02-14 21:45:00-08:00,Thursday,0,1,winter,21
2019-02-15 05:45:00,Ludwig van Beethoven,"Symphony No. 5 in C Minor, Op. 67: I. Allegro con brio",5645,2019-02-15 05:45:00+00:00,2019-02-14 21:45:00-08:00,Thursday,0,1,winter,21
