artistName,trackName,n_listens,spotify_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,album,album_release_date,album_type,explicit,popularity,preview_url,artists
((( O ))),Higher,1,0Rtf1PWeXnQLsFFyOcQrnk,0.532,0.49,10.0,-5.575,0.0,0.0732,0.111,0.128,0.102,0.222,138.806,237875.0,4.0,((( ~ ))),2019-04-05,single,False,42,https://p.scdn.co/mp3-preview/381166ba07c58606222021ef089e7fb42f65be6c?cid=8e78672ecefa44e58dd8a0b1af9a4fd1,((( O )))
(dc),De Nada (Vocal Edit),1,7nhSO9GYru1AYREmIq2Too,0.764,0.703,11.0,-5.623,0.0,0.351,0.195,0.000559,0.141,0.377,119.948,168229.0,4.0,De Nada,2015-05-14,single,False,40,https://p.scdn.co/mp3-preview/97e47517f000552155d5c93b1c9d4f2ad94b5cee?cid=8e78672ecefa44e58dd8a0b1af9a4fd1,"(dc), Masego"
21 Savage,Ghostface Killers,1,5u6vkDnOyaf8LsteDAj2ub,0.782,0.436,2.0,-7.033,1.0,0.155,0.331,1.3e-05,0.342,0.243,82.994,268933.0,4.0,Without Warning,2017-10-30,album,True,72,https://p.scdn.co/mp3-preview/e1b26f13f534493802712a0cbae4c8027d48d88b?cid=8e78672ecefa44e58dd8a0b1af9a4fd1,"21 Savage, Offset, Metro Boomin, Travis Scott"
21 Savage,a lot,20,2t8yVaLvJ0RenpXUIAC52d,0.837,0.636,1.0,-7.643,1.0,0.086,0.0395,0.00125,0.342,0.274,145.972,288624.0,4.0,i am > i was,2018-12-21,album,True,79,https://p.scdn.co/mp3-preview/0ff1fadf009e81e7d80912c2372c7381a49e5863?cid=8e78672ecefa44e58dd8a0b1af9a4fd1,21 Savage
21 Savage,monster,1,2FUNBaa5DwItJtYEBgAblU,0.89,0.607,9.0,-6.916,0.0,0.124,0.158,0.000228,0.118,0.224,134.022,233040.0,4.0,i am > i was,2018-12-21,album,True,66,https://p.scdn.co/mp3-preview/77673ecb9ddb7745608b96d83543d39e8481c996?cid=8e78672ecefa44e58dd8a0b1af9a4fd1,21 Savage
2Pac,All Eyez On Me,13,5e7ldn9Kwo8Aw9Z8ql9cDj,0.873,0.719,1.0,-5.948,1.0,0.248,0.03,0.0,0.333,0.858,93.281,307773.0,4.0,All Eyez On Me,1996,album,True,76,https://p.scdn.co/mp3-preview/3314dc874000f7f45b28b29931e4ceb2249cb195?cid=8e78672ecefa44e58dd8a0b1af9a4fd1,"2Pac, Big Syke"
2Pac,Changes - Greatest Hits Version,4,1fkBsauD5gmsrjvf0f5VYn,0.864,0.686,7.0,-5.973,1.0,0.0672,0.0392,0.0,0.156,0.317,111.1,268960.0,4.0,The Best Of 2Pac (Pt. 1: Thug),2007-01-01,compilation,False,43,,"2Pac, Talent"
2Pac,How Do U Want It,1,1ZB2zIoc8AjSuyqKRcJgbO,0.828,0.81,8.0,-2.151,1.0,0.101,0.121,3.02e-06,0.0495,0.838,92.46,287760.0,4.0,Greatest Hits,1998-01-01,compilation,True,61,,"2Pac, K-Ci & JoJo"
2Pac,How Do U Want It - Edit,9,7E2o6JBXMi3tz5QejAUBs2,0.871,0.789,1.0,-4.384,1.0,0.0952,0.018,1.95e-05,0.103,0.561,92.459,239160.0,4.0,Greatest Hits,1998-01-01,compilation,False,42,,"2Pac, K-Ci & JoJo"
2Pac,I Get Around,11,4voEoczU7Ijborps9XF1n3,0.846,0.416,10.0,-13.767,0.0,0.118,0.156,9.34e-06,0.238,0.645,96.188,259000.0,4.0,Strictly 4 My N.I.G.G.A.Z...,1993-02-16,album,True,69,,"2Pac, Digital Underground"
2Pac,Keep Ya Head Up,11,0XRbYXQUymj9SJkrr8YK5B,0.598,0.732,4.0,-7.013,1.0,0.425,0.144,0.0,0.508,0.595,172.329,262507.0,4.0,Strictly 4 My N.I.G.G.A.Z...,1993-02-16,album,True,71,,2Pac
50 Cent,21 Questions,1,41bIQPBE1lFN0mmw6Lmssz,0.576,0.807,6.0,-3.908,0.0,0.317,0.353,0.000363,0.0512,0.908,90.012,224427.0,4.0,Get Rich Or Die Tryin',2003-02-06,album,True,69,,"50 Cent, Nate Dogg"
88rising,Midsummer Madness,1,6TodWdTSDfzwgYynTZSvJn,0.409,0.678,9.0,-7.731,1.0,0.0878,0.359,4.76e-06,0.167,0.168,89.968,280842.0,4.0,Head In The Clouds,2018-07-20,album,True,74,https://p.scdn.co/mp3-preview/43916581b41394a77e64ebc0aff0c0c301a40abf?cid=8e78672ecefa44e58dd8a0b1af9a4fd1,"88rising, Joji, Rich Brian, Higher Brothers, AUGUST 08"
@Peace,Cake,1,5bEJuGD8w7xitqnu5wxoFV,0.543,0.779,4.0,-6.262,0.0,0.18,0.375,2.45e-06,0.736,0.482,75.939,333427.0,4.0,Girl Songs,2013-02-14,album,True,34,https://p.scdn.co/mp3-preview/79f3b41d9b5786ba8ec229939599a66c8cb17455?cid=8e78672ecefa44e58dd8a0b1af9a4fd1,@Peace
A Band Called Success,Swoonwalk,1,4atf6fgBMa9fplUajApH53,0.801,0.522,0.0,-9.546,0.0,0.0516,0.0767,0.897,0.193,0.805,108.023,240000.0,4.0,Swoonwalk,2016-12-15,single,False,36,https://p.scdn.co/mp3-preview/cf81b6cfaa08763a988989ddb38ae4d18801164b?cid=8e78672ecefa44e58dd8a0b1af9a4fd1,A Band Called Success
A Tribe Called Quest,Award Tour,4,5YTM7OgQDt9EJAYcfHLniJ,0.812,0.6,7.0,-9.414,1.0,0.254,0.00308,8.38e-06,0.173,0.555,97.338,226440.0,4.0,Midnight Marauders,1993-11-09,album,False,63,https://p.scdn.co/mp3-preview/091602d4440f4d4f3485a7124827096ab064db31?cid=8e78672ecefa44e58dd8a0b1af9a4fd1,A Tribe Called Quest
A Tribe Called Quest,Can I Kick It?,1,3Ti0GdlrotgwsAVBBugv0I,0.848,0.666,0.0,-6.547,1.0,0.274,0.173,0.000699,0.129,0.744,96.662,251573.0,4.0,People's Instinctive Travels and the Paths of Rhythm (25th Anniversary Edition),1990-04-17,album,False,71,https://p.scdn.co/mp3-preview/c6469c3260465dd11d9efe5c2d35c3aca3bcc2b2?cid=8e78672ecefa44e58dd8a0b1af9a4fd1,A Tribe Called Quest
A Tribe Called Quest,Can I Kick It? - J. Cole Remix,2,0GmhAVyyHwaX6jfCbPmaoB,0.903,0.423,11.0,-5.829,1.0,0.235,0.434,1.49e-06,0.0859,0.512,96.612,169373.0,4.0,People's Instinctive Travels and the Paths of Rhythm (25th Anniversary Edition),1990-04-17,album,False,48,https://p.scdn.co/mp3-preview/00bfb0e6fbe8baa66274acda494fefbdb38d5a14?cid=8e78672ecefa44e58dd8a0b1af9a4fd1,A Tribe Called Quest
A Tribe Called Quest,Find a Way,1,2MAaiV0bbeq4FpSwPe2rR8,0.773,0.581,8.0,-8.466,1.0,0.432,0.0352,0.0,0.485,0.711,94.093,203067.0,4.0,The Love Movement,1998-09-29,album,False,62,https://p.scdn.co/mp3-preview/b9992cdff1f5eb6f5c25e24d5df4497a5f835b19?cid=8e78672ecefa44e58dd8a0b1af9a4fd1,A Tribe Called Quest
A Tribe Called Quest,Solid Wall of Sound,2,5OzOQRssjhxaBj0xd78Z2w,0.67,0.684,9.0,-6.053,0.0,0.401,0.311,0.000274,0.181,0.473,146.054,223347.0,4.0,We got it from Here... Thank You 4 Your service,2016-11-11,album,True,47,https://p.scdn.co/mp3-preview/ccce28faaf46d7f9afb6e23d9174592f8cee5ad4?cid=8e78672ecefa44e58dd8a0b1af9a4fd1,A Tribe Called Quest
A$AP Ferg,New Level,1,11BIoKDpTJHX5mZt6p566h,0.526,0.655,1.0,-4.208,0.0,0.326,0.0566,0.0,0.116,0.156,121.127,267212.0,4.0,New Level (feat. Future),2015-12-18,single,True,62,https://p.scdn.co/mp3-preview/5f60a5b914b04bacae4ed0515b467441cb98b5b5?cid=8e78672ecefa44e58dd8a0b1af9a4fd1,"A$AP Ferg, Future"
A$AP Ferg,Shabba (feat. A$AP Rocky),3,7eaKWfov7b2Qa2n6HTesL3,0.869,0.712,9.0,-6.136,1.0,0.103,0.0715,0.0,0.272,0.435,120.0,275867.0,4.0,Trap Lord,2013-08-19,album,True,65,https://p.scdn.co/mp3-preview/693190bc8f2e43e179458b3af4bbbad5ec81f2dc?cid=8e78672ecefa44e58dd8a0b1af9a4fd1,"A$AP Ferg, A$AP Rocky"
A$AP Rocky,"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",2,4X5f3vT8MRuXF68pfjNte5,0.853,0.693,1.0,-6.87,1.0,0.275,0.0239,0.0,0.11,0.662,95.967,233787.0,4.0,LONG.LIVE.A$AP (Deluxe Version),2013,album,True,76,https://p.scdn.co/mp3-preview/3fa2154894ae4970c95beb9436b86d7999812d3e?cid=8e78672ecefa44e58dd8a0b1af9a4fd1,"A$AP Rocky, Drake, 2 Chainz, Kendrick Lamar"
